"","Kingdom","Phylum","Class","Order","Family","Genus","Species","combined_traits","Unique_Node_Name"
"g__Rubrivirga","k__Bacteria","p__Bacteroidota","c__Rhodothermia","o__Rhodothermales","f__Rhodothermaceae","g__Rubrivirga",NA,NA,"g__Rubrivirga"
"Unclass_c__Subgroup 11","k__Bacteria","p__Acidobacteriota","c__Subgroup 11","o__","f__","Unclass_c__Subgroup 11",NA,NA,"Unclass_c__Subgroup 11"
"g__Actimicrobium","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Actimicrobium",NA,NA,"g__Actimicrobium"
"g__SWB02","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Hyphomonadaceae","g__SWB02",NA,NA,"g__SWB02"
"g__Yersinia","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Yersiniaceae","g__Yersinia",NA,NA,"g__Yersinia"
"g__Rhodovastum","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Acetobacterales","f__Acetobacteraceae","g__Rhodovastum",NA,NA,"g__Rhodovastum"
"g__Neo-b11","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Neo-b11",NA,NA,"g__Neo-b11"
"g__Alkanibacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Salinisphaerales","f__Solimonadaceae","g__Alkanibacter",NA,NA,"g__Alkanibacter"
"g__28-YEA-48","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__28-YEA-48",NA,NA,"g__28-YEA-48"
"Unclass_o__Sphingobacteriales","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__","Unclass_o__Sphingobacteriales",NA,NA,"Unclass_o__Sphingobacteriales"
"g__Undibacterium","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Undibacterium",NA,NA,"g__Undibacterium"
"Unclass_c__Lineage IIa","k__Bacteria","p__Elusimicrobiota","c__Lineage IIa","o__","f__","Unclass_c__Lineage IIa",NA,NA,"Unclass_c__Lineage IIa"
"Unclass_o__Omnitrophales","k__Bacteria","p__Verrucomicrobiota","c__Omnitrophia","o__Omnitrophales","f__","Unclass_o__Omnitrophales",NA,NA,"Unclass_o__Omnitrophales"
"Unclass_f__BSV26","k__Bacteria","p__Bacteroidota","c__Kryptonia","o__Kryptoniales","f__BSV26","Unclass_f__BSV26",NA,NA,"Unclass_f__BSV26"
"Unclass_f__Nannocystaceae","k__Bacteria","p__Myxococcota","c__Polyangia","o__Nannocystales","f__Nannocystaceae","Unclass_f__Nannocystaceae",NA,NA,"Unclass_f__Nannocystaceae"
"Unclass_f__Hydrogenedensaceae","k__Bacteria","p__Hydrogenedentes","c__Hydrogenedentia","o__Hydrogenedentiales","f__Hydrogenedensaceae","Unclass_f__Hydrogenedensaceae",NA,NA,"Unclass_f__Hydrogenedensaceae"
"Unclass_o__Cytophagales","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__","Unclass_o__Cytophagales",NA,NA,"Unclass_o__Cytophagales"
"g__Enhydrobacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Enhydrobacter",NA,NA,"g__Enhydrobacter"
"g__Saccharopolyspora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Saccharopolyspora",NA,NA,"g__Saccharopolyspora"
"Unclass_f__Sneathiellaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sneathiellales","f__Sneathiellaceae","Unclass_f__Sneathiellaceae",NA,NA,"Unclass_f__Sneathiellaceae"
"Unclass_f__Parvibaculaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Parvibaculales","f__Parvibaculaceae","Unclass_f__Parvibaculaceae",NA,NA,"Unclass_f__Parvibaculaceae"
"Unclass_f__Moraxellaceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","Unclass_f__Moraxellaceae",NA,NA,"Unclass_f__Moraxellaceae"
"Unclass_o__Candidatus Yanofskybacteria","k__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus Yanofskybacteria","f__","Unclass_o__Candidatus Yanofskybacteria",NA,NA,"Unclass_o__Candidatus Yanofskybacteria"
"Unclass_f__LiUU-11-161","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__LiUU-11-161","Unclass_f__LiUU-11-161",NA,NA,"Unclass_f__LiUU-11-161"
"g__Leifsonia","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Leifsonia",NA,NA,"g__Leifsonia"
"g__Roseomonas","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Acetobacterales","f__Acetobacteraceae","g__Roseomonas",NA,NA,"g__Roseomonas"
"Unclass_o__053A03-B-DI-P58","k__Bacteria","p__Bdellovibrionota","c__Oligoflexia","o__053A03-B-DI-P58","f__","Unclass_o__053A03-B-DI-P58",NA,NA,"Unclass_o__053A03-B-DI-P58"
"g__Frankia","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Frankiales","f__Frankiaceae","g__Frankia",NA,NA,"g__Frankia"
"g__Labilithrix","k__Bacteria","p__Myxococcota","c__Polyangia","o__Polyangiales","f__Polyangiaceae","g__Labilithrix",NA,NA,"g__Labilithrix"
"Unclass_f__Propionibacteriaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","Unclass_f__Propionibacteriaceae",NA,NA,"Unclass_f__Propionibacteriaceae"
"Unclass_o__Puniceispirillales","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Puniceispirillales","f__","Unclass_o__Puniceispirillales",NA,NA,"Unclass_o__Puniceispirillales"
"Unclass_f__NS9 marine group","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__NS9 marine group","Unclass_f__NS9 marine group",NA,NA,"Unclass_f__NS9 marine group"
"g__Catellatospora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Catellatospora",NA,NA,"g__Catellatospora"
"g__Actinotalea","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Cellulomonadaceae","g__Actinotalea",NA,NA,"g__Actinotalea"
"Unclass_f__Saprospiraceae","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Saprospiraceae","Unclass_f__Saprospiraceae",NA,NA,"Unclass_f__Saprospiraceae"
"g__Hassallia","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Microscillaceae","g__Hassallia",NA,NA,"g__Hassallia"
"g__Parasegetibacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Parasegetibacter",NA,NA,"g__Parasegetibacter"
"Unclass_o__Cyanobacteriales","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__","Unclass_o__Cyanobacteriales",NA,NA,"Unclass_o__Cyanobacteriales"
"Unclass_o__JTB23","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__JTB23","f__","Unclass_o__JTB23",NA,NA,"Unclass_o__JTB23"
"g__Emticicia","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Spirosomaceae","g__Emticicia",NA,NA,"g__Emticicia"
"g__Geminicoccus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Tistrellales","f__Geminicoccaceae","g__Geminicoccus",NA,NA,"g__Geminicoccus"
"g__Turneriella","k__Bacteria","p__Spirochaetota","c__Leptospirae","o__Leptospirales","f__Leptospiraceae","g__Turneriella",NA,NA,"g__Turneriella"
"Unclass_f__Methylacidiphilaceae","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Methylacidiphilales","f__Methylacidiphilaceae","Unclass_f__Methylacidiphilaceae",NA,NA,"Unclass_f__Methylacidiphilaceae"
"g__Aureimonas","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Aureimonas",NA,NA,"g__Aureimonas"
"Unclass_f__Intrasporangiaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae","Unclass_f__Intrasporangiaceae",NA,NA,"Unclass_f__Intrasporangiaceae"
"Unclass_o__Elev-1554","k__Bacteria","p__Chloroflexi","c__Chloroflexia","o__Elev-1554","f__","Unclass_o__Elev-1554",NA,NA,"Unclass_o__Elev-1554"
"Unclass_c__Polyangia","k__Bacteria","p__Myxococcota","c__Polyangia","o__","f__","Unclass_c__Polyangia",NA,NA,"Unclass_c__Polyangia"
"g__Pseudolabrys","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Pseudolabrys",NA,NA,"g__Pseudolabrys"
"Unclass_f__Euzebyaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Euzebyales","f__Euzebyaceae","Unclass_f__Euzebyaceae",NA,NA,"Unclass_f__Euzebyaceae"
"g__Verticiella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Verticiella",NA,NA,"g__Verticiella"
"Unclass_f__Sutterellaceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","Unclass_f__Sutterellaceae",NA,NA,"Unclass_f__Sutterellaceae"
"Unclass_f__Vampirovibrionaceae","k__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Vampirovibrionales","f__Vampirovibrionaceae","Unclass_f__Vampirovibrionaceae",NA,NA,"Unclass_f__Vampirovibrionaceae"
"g__Crocinitomix","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Crocinitomicaceae","g__Crocinitomix",NA,NA,"g__Crocinitomix"
"g__Vulgatibacter","k__Bacteria","p__Myxococcota","c__Myxococcia","o__Myxococcales","f__Vulgatibacteraceae","g__Vulgatibacter",NA,NA,"g__Vulgatibacter"
"g__Rhizorhapis","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Rhizorhapis",NA,NA,"g__Rhizorhapis"
"g__Rhizocola","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Rhizocola",NA,NA,"g__Rhizocola"
"g__Chitinimonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Chitinimonadaceae","g__Chitinimonas",NA,NA,"g__Chitinimonas"
"g__Nevskia","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Salinisphaerales","f__Solimonadaceae","g__Nevskia",NA,NA,"g__Nevskia"
"Unclass_o__0319-6G20","k__Bacteria","p__Bdellovibrionota","c__Oligoflexia","o__0319-6G20","f__","Unclass_o__0319-6G20",NA,NA,"Unclass_o__0319-6G20"
"g__Uliginosibacterium","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Rhodocyclaceae","g__Uliginosibacterium",NA,NA,"g__Uliginosibacterium"
"g__LD29","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Chthoniobacterales","f__Chthoniobacteraceae","g__LD29",NA,NA,"g__LD29"
"g__Pseudohongiella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudohongiellaceae","g__Pseudohongiella",NA,NA,"g__Pseudohongiella"
"g__Advenella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Advenella",NA,NA,"g__Advenella"
"g__Motilibacter","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptosporangiales","f__","g__Motilibacter",NA,NA,"g__Motilibacter"
"g__Corticibacterium","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Corticibacterium",NA,NA,"g__Corticibacterium"
"Unclass_f__Blastocatellaceae","k__Bacteria","p__Acidobacteriota","c__Blastocatellia","o__Blastocatellales","f__Blastocatellaceae","Unclass_f__Blastocatellaceae",NA,NA,"Unclass_f__Blastocatellaceae"
"g__Sediminibacterium","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Sediminibacterium",NA,NA,"g__Sediminibacterium"
"Unclass_f__Opitutaceae","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Opitutales","f__Opitutaceae","Unclass_f__Opitutaceae",NA,NA,"Unclass_f__Opitutaceae"
"Unclass_c__Thermoplasmata","k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__","f__","Unclass_c__Thermoplasmata",NA,NA,"Unclass_c__Thermoplasmata"
"g__Nitrospirillum","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Azospirillales","f__Azospirillaceae","g__Nitrospirillum",NA,NA,"g__Nitrospirillum"
"g__Herpetosiphon","k__Bacteria","p__Chloroflexi","c__Chloroflexia","o__Chloroflexales","f__Herpetosiphonaceae","g__Herpetosiphon",NA,NA,"g__Herpetosiphon"
"g__Gemmatirosa","k__Bacteria","p__Gemmatimonadota","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatirosa",NA,NA,"g__Gemmatirosa"
"g__Permianibacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Permianibacter",NA,NA,"g__Permianibacter"
"g__Armatimonas","k__Bacteria","p__Armatimonadota","c__Armatimonadia","o__Armatimonadales","f__Armatimonadaceae","g__Armatimonas",NA,NA,"g__Armatimonas"
"Unclass_o__FFCH16263","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__FFCH16263","f__","Unclass_o__FFCH16263",NA,NA,"Unclass_o__FFCH16263"
"g__Spirosoma","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Spirosomaceae","g__Spirosoma",NA,NA,"g__Spirosoma"
"g__Amnibacterium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Amnibacterium",NA,NA,"g__Amnibacterium"
"g__Kaistia","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Kaistiaceae","g__Kaistia",NA,NA,"g__Kaistia"
"g__Alsobacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__","g__Alsobacter",NA,NA,"g__Alsobacter"
"g__CM1G08","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__CM1G08",NA,NA,"g__CM1G08"
"Unclass_f__Chthoniobacteraceae","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Chthoniobacterales","f__Chthoniobacteraceae","Unclass_f__Chthoniobacteraceae",NA,NA,"Unclass_f__Chthoniobacteraceae"
"Unclass_f__Hyphomicrobiaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","Unclass_f__Hyphomicrobiaceae",NA,NA,"Unclass_f__Hyphomicrobiaceae"
"g__Parablastomonas","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Parablastomonas",NA,NA,"g__Parablastomonas"
"g__Solimonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Salinisphaerales","f__Solimonadaceae","g__Solimonas",NA,NA,"g__Solimonas"
"g__Fibrella","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Spirosomaceae","g__Fibrella",NA,NA,"g__Fibrella"
"Unclass_f__Solimonadaceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Salinisphaerales","f__Solimonadaceae","Unclass_f__Solimonadaceae",NA,NA,"Unclass_f__Solimonadaceae"
"Unclass_f__Azospirillaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Azospirillales","f__Azospirillaceae","Unclass_f__Azospirillaceae",NA,NA,"Unclass_f__Azospirillaceae"
"g__Litorilinea","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Caldilineales","f__Caldilineaceae","g__Litorilinea",NA,NA,"g__Litorilinea"
"g__Flavihumibacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Flavihumibacter",NA,NA,"g__Flavihumibacter"
"g__Polyangium","k__Bacteria","p__Myxococcota","c__Polyangia","o__Polyangiales","f__Polyangiaceae","g__Polyangium",NA,NA,"g__Polyangium"
"g__Rhodopseudomonas","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Rhodopseudomonas",NA,NA,"g__Rhodopseudomonas"
"Unclass_o__Bacteroidetes VC2.1 Bac22","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidetes VC2.1 Bac22","f__","Unclass_o__Bacteroidetes VC2.1 Bac22",NA,NA,"Unclass_o__Bacteroidetes VC2.1 Bac22"
"g__Rugosimonospora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Rugosimonospora",NA,NA,"g__Rugosimonospora"
"g__Flexibacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Microscillaceae","g__Flexibacter",NA,NA,"g__Flexibacter"
"Unclass_o__UA11","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__UA11","f__","Unclass_o__UA11",NA,NA,"Unclass_o__UA11"
"Unclass_o__JG36-TzT-191","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__JG36-TzT-191","f__","Unclass_o__JG36-TzT-191",NA,NA,"Unclass_o__JG36-TzT-191"
"Unclass_p__WS2","k__Bacteria","p__WS2","c__","o__","f__","Unclass_p__WS2",NA,NA,"Unclass_p__WS2"
"g__Tumebacillus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Alicyclobacillales","f__Alicyclobacillaceae","g__Tumebacillus",NA,NA,"g__Tumebacillus"
"Unclass_f__Diplorickettsiaceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Diplorickettsiales","f__Diplorickettsiaceae","Unclass_f__Diplorickettsiaceae",NA,NA,"Unclass_f__Diplorickettsiaceae"
"Unclass_f__Rhizobiaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","Unclass_f__Rhizobiaceae",NA,NA,"Unclass_f__Rhizobiaceae"
"g__AKYG587","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__Phycisphaerales","f__Phycisphaeraceae","g__AKYG587",NA,NA,"g__AKYG587"
"Unclass_f__Stappiaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Stappiaceae","Unclass_f__Stappiaceae",NA,NA,"Unclass_f__Stappiaceae"
"Unclass_o__Thermotogales","k__Bacteria","p__Thermotogota","c__Thermotogae","o__Thermotogales","f__","Unclass_o__Thermotogales",NA,NA,"Unclass_o__Thermotogales"
"g__GKS98 freshwater group","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__GKS98 freshwater group",NA,NA,"g__GKS98 freshwater group"
"g__Terracidiphilus","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__Terracidiphilus",NA,NA,"g__Terracidiphilus"
"Unclass_f__Gimesiaceae","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Planctomycetales","f__Gimesiaceae","Unclass_f__Gimesiaceae",NA,NA,"Unclass_f__Gimesiaceae"
"Unclass_o__VHS-B3-70","k__Bacteria","p__Myxococcota","c__Polyangia","o__VHS-B3-70","f__","Unclass_o__VHS-B3-70",NA,NA,"Unclass_o__VHS-B3-70"
"g__Tahibacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Rhodanobacteraceae","g__Tahibacter",NA,NA,"g__Tahibacter"
"g__Azohydromonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Azohydromonas",NA,NA,"g__Azohydromonas"
"Unclass_c__Bathyarchaeia","k__Archaea","p__Crenarchaeota","c__Bathyarchaeia","o__","f__","Unclass_c__Bathyarchaeia",NA,NA,"Unclass_c__Bathyarchaeia"
"Unclass_c__Bacilli","k__Bacteria","p__Firmicutes","c__Bacilli","o__","f__","Unclass_c__Bacilli",NA,NA,"Unclass_c__Bacilli"
"Unclass_f__Cyclobacteriaceae","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Cyclobacteriaceae","Unclass_f__Cyclobacteriaceae",NA,NA,"Unclass_f__Cyclobacteriaceae"
"Unclass_f__FFCH9454","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__FFCH9454","Unclass_f__FFCH9454",NA,NA,"Unclass_f__FFCH9454"
"g__FFCH7168","k__Bacteria","p__Chloroflexi","c__Chloroflexia","o__Chloroflexales","f__Chloroflexaceae","g__FFCH7168",NA,NA,"g__FFCH7168"
"g__Sandarakinorhabdus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sandarakinorhabdus",NA,NA,"g__Sandarakinorhabdus"
"g__Aliidongia","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Elsterales","f__Elsteraceae","g__Aliidongia",NA,NA,"g__Aliidongia"
"g__Legionella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella",NA,NA,"g__Legionella"
"g__Spirillospora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptosporangiales","f__Thermomonosporaceae","g__Spirillospora",NA,NA,"g__Spirillospora"
"Unclass_f__Chlamydiaceae","k__Bacteria","p__Verrucomicrobiota","c__Chlamydiae","o__Chlamydiales","f__Chlamydiaceae","Unclass_f__Chlamydiaceae",NA,NA,"Unclass_f__Chlamydiaceae"
"g__Acidisoma","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Acetobacterales","f__Acetobacteraceae","g__Acidisoma",NA,NA,"g__Acidisoma"
"g__Larkinella","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Spirosomaceae","g__Larkinella",NA,NA,"g__Larkinella"
"g__Microcoleus SAG 1449-1a","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Coleofasciculaceae","g__Microcoleus SAG 1449-1a",NA,NA,"g__Microcoleus SAG 1449-1a"
"Unclass_f__A0839","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__A0839","Unclass_f__A0839",NA,NA,"Unclass_f__A0839"
"g__Candidatus Paracaedibacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Paracaedibacterales","f__Paracaedibacteraceae","g__Candidatus Paracaedibacter",NA,NA,"g__Candidatus Paracaedibacter"
"Unclass_f__Nocardiaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Nocardiaceae","Unclass_f__Nocardiaceae",NA,NA,"Unclass_f__Nocardiaceae"
"g__Clostridium sensu stricto 13","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium sensu stricto 13",NA,NA,"g__Clostridium sensu stricto 13"
"g__Tuwongella","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Gemmatales","f__Gemmataceae","g__Tuwongella",NA,NA,"g__Tuwongella"
"g__Herbaspirillum","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Herbaspirillum",NA,NA,"g__Herbaspirillum"
"Unclass_f__Methylopilaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Methylopilaceae","Unclass_f__Methylopilaceae",NA,NA,"Unclass_f__Methylopilaceae"
"Unclass_p__Gemmatimonadota","k__Bacteria","p__Gemmatimonadota","c__","o__","f__","Unclass_p__Gemmatimonadota",NA,NA,"Unclass_p__Gemmatimonadota"
"Unclass_c__Planctomycetes","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__","f__","Unclass_c__Planctomycetes",NA,NA,"Unclass_c__Planctomycetes"
"Unclass_o__EV818SWSAP88","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__EV818SWSAP88","f__","Unclass_o__EV818SWSAP88",NA,NA,"Unclass_o__EV818SWSAP88"
"Unclass_f__Frankiaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Frankiales","f__Frankiaceae","Unclass_f__Frankiaceae",NA,NA,"Unclass_f__Frankiaceae"
"Unclass_o__SAR202 clade","k__Bacteria","p__Chloroflexi","c__Dehalococcoidia","o__SAR202 clade","f__","Unclass_o__SAR202 clade",NA,NA,"Unclass_o__SAR202 clade"
"Unclass_f__Cytophagaceae","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Cytophagaceae","Unclass_f__Cytophagaceae",NA,NA,"Unclass_f__Cytophagaceae"
"g__Lysinimonas","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Lysinimonas",NA,NA,"g__Lysinimonas"
"g__Nitrolancea","k__Bacteria","p__Chloroflexi","c__Chloroflexia","o__Thermomicrobiales","f__Thermomicrobiaceae","g__Nitrolancea",NA,NA,"g__Nitrolancea"
"g__Ktedonobacter","k__Bacteria","p__Chloroflexi","c__Ktedonobacteria","o__Ktedonobacterales","f__Ktedonobacteraceae","g__Ktedonobacter",NA,NA,"g__Ktedonobacter"
"Unclass_o__PB19","k__Bacteria","p__Desulfobacterota","c__Desulfuromonadia","o__PB19","f__","Unclass_o__PB19",NA,NA,"Unclass_o__PB19"
"g__Kutzneria","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Kutzneria",NA,NA,"g__Kutzneria"
"g__Pseudenhygromyxa","k__Bacteria","p__Myxococcota","c__Polyangia","o__Nannocystales","f__Nannocystaceae","g__Pseudenhygromyxa",NA,NA,"g__Pseudenhygromyxa"
"g__Limibaculum","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Limibaculum",NA,NA,"g__Limibaculum"
"Unclass_f__Fibrobacteraceae","k__Bacteria","p__Fibrobacterota","c__Fibrobacteria","o__Fibrobacterales","f__Fibrobacteraceae","Unclass_f__Fibrobacteraceae",NA,NA,"Unclass_f__Fibrobacteraceae"
"g__Cryptosporangium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Frankiales","f__Cryptosporangiaceae","g__Cryptosporangium",NA,NA,"g__Cryptosporangium"
"g__Constrictibacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Puniceispirillales","f__","g__Constrictibacter",NA,NA,"g__Constrictibacter"
