phyloseq_name,Extraction_ID,FWD_barcode,REV_barcode,nucleic_acid,amplification,DO_ID,date_collected,Tree,sample_depth_cm,core_top_depth_cm,core_bottom_depth_cm,Sample_Notes,Sample_Date_yr.mo.dy,Avenza_Name,Site_Notes,Sampler_LB,Sampler_GB,Sampler_RM,Sampler_DG,Tree_Burn_Status,Tree_Health,latitude,longitude,Trees_within_10m,Trees_within_10m_count,Closest_Tree_Identity,Closest_Tree_Health,Closest_Tree_Distance_m,Closest_Tree_Location_degrees,Second_Closest_Tree_Identity,Second_Closest_Tree_Health,Second_Closest_Tree_Distance_m,Second_Closest_Tree_Location_degrees,Sampler_EW,Sampler_BL,Sampler_DL,PerCMoisture,FM_AD_correction,FM_OD_correction,AD_OD_correction,bulk_density_g_cm3,bulk_density_notes,Hue,Value_dry,Value_wet,Chroma_dry,Chroma_wet,clay_percent,silt_percent,sand_percent,TextureClass,pH_FM_CaCl2,Total_Exchange_Capacity_meq_per_100_g,pH_AD_H20,organic_matter_percent,S_ppm,P_mg_per_kg,Ca_mg_per_kg,Mg_mg_per_kg,K_mg_per_kg,Na_mg_per_kg,Ca_percent,Mg_percent,K_percent,Na_percent,other_bases_percent,H_percent,B_mg_per_kg,Fe_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Zn_mg_per_kg,Al_mg_per_kg,NO3-N_ppm,NH4-N_ppm,Bray_I_P_ppm,carbon_percent,nitrogen_percent,C_per_N_Ratio,PLFA_Total_Living_Microbial_Biomass_ng_g,PLFA_Total_Bacteria_ng_g,PLFA_Total_Bacteria_Percent_of_Total_Biomass,PLFA_Gram_Plus_Bacteria_ng_g,PLFA_Gram_Plus_Bacteria_Percent_of_Total_Biomass,PLFA_Actinobacteria_ng_g,PLFA_Actinobacteria_Percent_of_Total_Biomass,PLFA_Gram_Negative_Bacteria_ng_g,PLFA_Gram_Negative_Bacteria_Percent_of_Total_Biomass,PLFA_Total_Fungi_ng_g,PLFA_Arbuscular_Mycorrhizal_Fungi_ng_g,PLFA_Saprotrophic_Fungi_Percent_of_Total_Biomass,PLFA_Saprotrophic_Fungi_ng_g,PLFA_Protozoa_Percent_of_Total_Biomass,PLFA_Protozoa_ng_g,PLFA_Undifferentiated_Percent_of_Total_Biomass,PLFA_Undifferentiated_ng_g,PLFA_Fungi_Bacteria_Ratio_ng_g,PLFA_Predator_Prey_Ratio_ng_g,PLFA_Gram_Positive_Gram_Negative_Ratio_ng_g,PLFA_Saturated_Unsaturated_Ratio_ng_g,PLFA_Monounsaturated_Polyunsaturated_Ratio_ng_g,PLFA_Arbuscular_Mycorrhizal_Fungi_Percent_of_Total_Biomass
DO_PCR_R_bc001_PCR_F_bc013_R1.fastq.gz,D12-R,PCR_F_bc013,PCR_R_bc001,RNA,PCR_ITS,DO_T05_7.5-15,260523,T05,7.5-15,7.5,15,losts of grass roots,230526,Tree 05,Sampling SW of tree,TRUE,FALSE,FALSE,FALSE,burned,dead,38.488087,-122.151009,no,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,5.329284891634388,0.9803180914512925,0.949403578528827,0.9684648144392616,1.15205584966699,losts of grass roots,10YR,6,4,4,3,20.31,38.7,40.99,Lo,6.85,13.91,7.6,3.22,9,15,2110,269,200,18,75.84,16.12,3.69,0.56,3.8,0,0.48,63,86,2.31,1.78,397,0,0.9,6,1.41,0.12,11.75,2494.43,871.01,34.92,360.6,14.46,188.74,7.57,510.41,20.46,229.34,47.96,7.27,181.38,1.1,27.45,54.79,1366.63,0.26,0.03,0.71,1.97,7.41,1.9226837393713192
DO_PCR_R_bc001_PCR_F_bc014_R1.fastq.gz,D13-R,PCR_F_bc014,PCR_R_bc001,RNA,PCR_ITS,DO_T04_22.5-30,220523,T04,22.5-30,22.5,30,Lost about 50% of sample after seiving,230522,Tree 04,"center of core distance from trunk is 47cm. Live and burned, west side of tree",TRUE,FALSE,FALSE,FALSE,unburned,living,38.488092,-122.150914,yes,1,Manzanita,living,6.8,0,NA,NA,NA,0,TRUE,FALSE,FALSE,8.299638220898062,0.953134211043427,0.9233641186873648,0.9687661065869498,1.376515909835718,Lost about 50% of sample after seiving,10YR,6,4,3,3,29.48,37.52,33,ClLo,5.78,23.21,6.4,2.78,5,7,2298,929,236,28,49.5,33.35,2.61,0.52,5,9,0.23,97,37,4.06,0.87,688,0,1.4,3,0.74,0.08,9.25,788.51,292.29,37.07,130.81,16.59,67.19,8.52,161.48,20.48,95.47,15.43,10.15,80.04,0,0,50.82,400.74,0.33,0,0.81,2.58,4.31,1.956855334745279
DO_PCR_R_bc001_PCR_F_bc015_R1.fastq.gz,D14-R,PCR_F_bc015,PCR_R_bc001,RNA,PCR_ITS,DO_T06_30-37.5,280523,T06,30-37.5,30,37.5,"Lots of roots! Almost dropped, some loose material fell out",230528,Tree 06 alive,Sampling ESE side of tree,TRUE,FALSE,FALSE,FALSE,burned,living,38.488087,-122.151882,no,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,9.844223279965377,0.9607051408311996,0.9103801457553674,0.9476166068682726,1.1569352873367642,"Lots of roots! Almost dropped, some loose material fell out",10YR,6,5,4,4,34.68,42.04,23.28,ClLo,4.61,27.27,5.4,2.45,7,11,2241,571,160,22,41.09,17.45,1.5,0.35,6.6,33,0,94,30,3.16,1.16,674,0,4.3,3,0.94,0.09,10.44,2196.33,796.91,36.28,417.43,19.01,226.69,10.32,379.48,17.28,158.64,27.89,5.95,130.76,0.69,15.07,55.81,1225.7,0.2,0.02,1.1,2.43,4.43,1.2698456060792322
DO_PCR_R_bc001_PCR_F_bc016_R1.fastq.gz,D15-R,PCR_F_bc016,PCR_R_bc001,RNA,PCR_ITS,DO_T07_7.5-15,290523,T07,7.5-15,7.5,15,some roots,230529,Tree 07 dead,NA,TRUE,FALSE,FALSE,FALSE,burned,dead,38.488857,-122.151742,yes,2,Pine,dead,2.43,45,Oak,dead,5.57,104,TRUE,TRUE,FALSE,8.547008547008554,0.960330908003588,0.921259842519685,0.9593149974052932,1.3118620707257622,some roots,10YR,6,4,3,3,27.99,44.12,27.89,ClLo,6.48,23.84,7.3,4.3,7,23,3597,404,562,15,75.44,14.12,6.04,0.27,4.1,0,0.68,84,49,3.22,1.57,558,0,2.1,9,1.71,0.15,11.4,2739.73,639.57,23.34,326.68,11.92,128.15,4.68,312.89,11.42,278.16,36.84,8.81,241.33,0.6,16.56,65.5,1794.44,0.43,0.03,1.04,2.51,2.23,1.3446580502458272
DO_PCR_R_bc001_PCR_F_bc017_R1.fastq.gz,D16-R,PCR_F_bc017,PCR_R_bc001,RNA,PCR_ITS,DO_T03_15-22.5,200523,T03,15-22.5,15,22.5,yes roots,230520,Tree 03,"Saturday May 20 2023 LB,RM,DG",TRUE,FALSE,TRUE,TRUE,unburned,living,38.486593,-122.150304,yes,2,Blue_Oak,living,3.05,344,Blue_Oak,living,6.68,290,FALSE,FALSE,FALSE,12.017406828832844,0.9229006873194542,0.8927183982468374,0.9672962763086886,0.9110936391831984,yes roots,10YR,5,4,4,3,18.39,42.42,39.19,Lo,6.09,16.18,6.7,4.53,7,13,2189,363,257,14,67.65,18.7,4.07,0.38,4.7,4.5,0.32,69,59,3.29,2.87,419,0,2.6,2,2.29,0.18,12.72,3397.46,1270.86,37.41,450.36,13.26,208.86,6.15,820.5,24.15,386.92,56.94,9.71,329.98,0.99,33.69,50.21,1705.98,0.3,0.03,0.55,1.65,4.05,1.675957921506066
DO_PCR_R_bc001_PCR_F_bc018_R1.fastq.gz,D17-R,PCR_F_bc018,PCR_R_bc001,RNA,PCR_ITS,DO_T06_15-22.5,280523,T06,15-22.5,15,22.5,"Lots of rooots, some sample spilled",230528,Tree 06 alive,Sampling ESE side of tree,TRUE,FALSE,FALSE,FALSE,burned,living,38.488087,-122.151882,no,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,7.714592274678108,0.967626257595378,0.9283793206494672,0.9594399835289272,1.2991291822508104,"Lots of rooots, some sample spilled",10YR,6,4,3,3,33.39,42.04,24.57,ClLo,4.67,33.94,5.4,3.52,7,11,2842,663,255,25,41.87,16.28,1.93,0.32,6.6,33,0.25,182,62,3.66,1.49,906,0,4,3,1.36,0.11,12.36,2620.3,612.73,23.38,355.5,13.57,159.88,6.1,257.23,9.82,324.94,31.07,11.22,293.87,0.98,25.63,63.24,1657.01,0.53,0.04,1.38,2.34,1.9,1.1857420906003129
DO_PCR_R_bc001_PCR_F_bc020_R1.fastq.gz,D19-R,PCR_F_bc020,PCR_R_bc001,RNA,PCR_ITS,DO_T03_7.5-15,200523,T03,7.5-15,7.5,15,yes root,230520,Tree 03,"Saturday May 20 2023 LB,RM,DG",TRUE,FALSE,TRUE,TRUE,unburned,living,38.486593,-122.150304,yes,2,Blue_Oak,living,3.05,344,Blue_Oak,living,6.68,290,FALSE,FALSE,FALSE,10.359268238924406,0.9371879368883564,0.9061314160175752,0.9668620138518912,1.0760494141265435,yes root,10YR,5,4,4,3,23.34,39.13,37.53,Lo,6.81,19.54,6.9,4.39,6,12,2807,411,330,14,71.83,17.53,4.33,0.31,4.5,1.5,0.5,66,52,3.23,1.93,475,0,1.4,3,2.44,0.15,16.27,3408.07,1270.03,37.27,536.08,15.73,252.57,7.41,733.95,21.54,336.15,68.09,7.87,268.06,1.16,39.59,51.71,1762.3,0.26,0.03,0.73,1.97,10.21,1.9979049726091307
DO_PCR_R_bc001_PCR_F_bc021_R1.fastq.gz,D20-R,PCR_F_bc021,PCR_R_bc001,RNA,PCR_ITS,DO_T05_15-22.5,260523,T05,15-22.5,15,22.5,"Bag mislabled 7.5-15, one huge root",230526,Tree 05,Sampling SW of tree,TRUE,FALSE,FALSE,FALSE,burned,dead,38.488087,-122.151009,no,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,5.803152071808791,0.9750419256190196,0.9451514254710468,0.9693443949817888,1.2573424473689387,"Bag mislabled 7.5-15, one huge root",10YR,6,4,4,4,23.25,42.19,34.56,Lo,6.6,19.99,7.3,2.74,8,9,2875,470,312,19,71.91,19.59,4,0.41,4.1,0,0.46,71,81,4.83,1.47,597,0,1.4,3,1.04,0.08,13,3409.3,1465.35,42.98,626.75,18.38,342.19,10.04,838.6,24.6,226.52,46.93,5.27,179.6,0.39,13.24,49.99,1704.18,0.15,0.01,0.75,2.85,10.72,1.376528906227085
DO_PCR_R_bc001_PCR_F_bc022_R1.fastq.gz,D21-R,PCR_F_bc022,PCR_R_bc001,RNA,PCR_ITS,DO_T03_0-7.5,200523,T03,0-7.5,0,7.5,"no oak roots in top core, ash layer @ top, Augered to 8.5cm with huge root, no roots",230520,Tree 03,"Saturday May 20 2023 LB,RM,DG",TRUE,FALSE,TRUE,TRUE,unburned,living,38.486593,-122.150304,yes,2,Blue_Oak,living,3.05,344,Blue_Oak,living,6.68,290,FALSE,FALSE,FALSE,6.194968553459115,0.9758167999210344,0.9416641989931892,0.9650010115314588,0.9567735597225774,"no oak roots in top core, ash layer @ top, Augered to 8.5cm with huge root, no roots",10YR,6,4,3,3,17.53,39.64,42.83,Lo,6.77,18.23,7.2,7.04,7,28,2718,366,304,11,74.55,16.73,4.28,0.26,4.2,0,0.61,73,107,2.59,3.52,401,0,2,14,3.7,0.27,13.7,6135.09,2040.66,33.26,741.01,12.08,300.01,4.89,1299.65,21.18,1177.17,173.78,16.36,1003.39,1.67,102.21,45.88,2815.04,0.58,0.05,0.57,1.03,4.08,2.832558283578562
DO_PCR_R_bc002_PCR_F_bc003_R1.fastq.gz,D24-R,PCR_F_bc003,PCR_R_bc002,RNA,PCR_ITS,DO_T04_0-7.5,220523,T04,0-7.5,0,7.5,NA,230522,Tree 04,"center of core distance from trunk is 47cm. Live and burned, west side of tree",TRUE,FALSE,FALSE,FALSE,unburned,living,38.488092,-122.150914,yes,1,Manzanita,living,6.8,0,NA,NA,NA,0,TRUE,FALSE,FALSE,7.40106951871658,0.9631547500497908,0.9310894244174468,0.966708023159636,0.9727394537755044,NA,10YR,4,3,2.5,2,22.86,37.71,39.43,Lo,7.03,19.65,7.6,5.91,11,70,3232,228,310,12,82.24,9.67,4.05,0.27,3.8,0,0.62,104,176,2.53,6.39,350,0,3.8,41,3.76,0.36,10.44,3320.2,972.89,29.3,366.38,11.03,155.66,4.69,606.51,18.27,484.2,77.68,12.24,406.51,2.47,81.92,53.35,1771.47,0.5,0.08,0.6,1.26,2.6,2.3396180952954646
DO_PCR_R_bc002_PCR_F_bc006_R1.fastq.gz,D27-R,PCR_F_bc006,PCR_R_bc002,RNA,PCR_ITS,DO_T02_15-22.5,80523,T02,15-22.5,15,22.5,NA,230508,NA,Test Glade & Laura Monday May 8 2023,TRUE,TRUE,FALSE,FALSE,burned,dead,38.48673,-122.15038,yes,NA,Oak,dead,NA,NA,Oak,dead,NA,NA,FALSE,FALSE,FALSE,20.730976632714217,0.8527047146401985,0.8282878411910669,0.971365382376906,1.1387950983507005,NA,10YR,5,4,4,3,27.03,39.28,33.69,Lo,5.91,17.54,6.6,4.73,5,13,2407,381,148,12,68.61,18.1,2.16,0.3,4.8,6,0.37,81,56,2.24,1.94,437,1.8,2.4,7,2.03,0.15,13.53,2797.66,1037.18,37.07,372.69,13.32,159.53,5.7,664.49,23.75,232.46,42.54,6.79,189.92,1.66,46.41,52.51,1469.15,0.22,0.04,0.56,1.76,9.12,1.5205564650457883
DO_PCR_R_bc002_PCR_F_bc009_R1.fastq.gz,D33-D,PCR_F_bc009,PCR_R_bc002,DNA,PCR_ITS,DO_T05_0-7.5,260523,T05,0-7.5,0,7.5,thick sod,230526,Tree 05,Sampling SW of tree,TRUE,FALSE,FALSE,FALSE,burned,dead,38.488087,-122.151009,no,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,4.039357845675822,0.9927327028372324,0.9611747137879542,0.9682109907741676,0.9773760379749796,thick sod,10YR,5,3,4,3,23.22,40.68,36.1,Lo,7.06,21.59,7.4,4.31,16,50,3559,244,319,19,82.42,9.42,3.79,0.38,4,0,0.64,102,192,2.81,4.98,426,0.9,3.2,25,2.28,0.23,9.91,2371.19,666.08,28.09,256.5,10.82,131.26,5.54,409.58,17.27,229.92,32.15,8.34,197.77,0.6,14.32,61.61,1460.87,0.35,0.02,0.63,1.7,4.53,1.3558592942784002
DO_PCR_R_bc002_PCR_F_bc010_R1.fastq.gz,D34-D,PCR_F_bc010,PCR_R_bc002,DNA,PCR_ITS,DO_T07_15-22.5,290523,T07,15-22.5,15,22.5,lots of mycorrhizas on roots. Are they alive?,230529,Tree 07 dead,NA,TRUE,FALSE,FALSE,FALSE,burned,dead,38.488857,-122.151742,yes,2,Pine,dead,2.43,45,Oak,dead,5.57,104,TRUE,TRUE,FALSE,9.31521739130434,0.9537635477776673,0.914785721388088,0.9591326105087574,1.1346604741949815,lots of mycorrhizas on roots. Are they alive?,10YR,6,4,3,4,32.9,38.8,28.3,ClLo,6.43,21.1,7.3,3.55,7,15,3102,402,515,13,73.51,15.88,6.26,0.27,4.1,0,0.65,71,47,3.7,1.21,556,0.6,3.1,6,1.44,0.13,11.08,2890.26,723.67,25.04,343.34,11.88,117.18,4.05,380.33,13.16,311.02,32.55,9.63,278.47,0,0,64.2,1855.57,0.43,0,0.9,2.34,3.76,1.1261962591600754
