"Brookside Laboratories, Inc.  New Bremen, OH 45869 (Phone: 419-977-2766)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client Number,90403,,* Mehlich III extractable elements,,,,,,,,,,,,,,,,,,,,,,,,,
Date Submitted,,,** This value represents the percent of a given element found on the soils total exchange capacity.  Values should add to 100 for a given sample.,,,,,,,,,,,,,,,,,,,,,,,,,
Date Received,8/28/2024,,Note: For a listing of methods and references please refer to our website www.blinc.com.,,,,,,,,,,,,,,,,,,,,,,,,,
Date Reported,8/30/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purchase Order # ,UCDPO00071699,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Location,Sample Description #1,Sample Description #2,Lab Number,Total Exchange Capacity (meq/100 g),pH,Organic Matter (%),Estimated Nitrogen Release (# N/acre),S* (ppm),P* (mg/kg),Ca* (mg/kg),Mg* (mg/kg),K* (mg/kg),Na* (mg/kg),Ca** (%),Mg** (%),K** (%),Na** (%),Other Bases** (%),H** (%),B* (mg/kg),Fe* (mg/kg),Mn* (mg/kg),Cu* (mg/kg),Zn* (mg/kg),Al* (mg/kg),NO3-N (ppm),NH4-N (ppm),Bray I P (ppm)
DO,T02,0-7.5,0144-1,18.28,7,3.77,88,7,42,2410,549,285,28,65.92,25.03,4,0.67,4.4,0,0.67,216,157,3.2,3.3,760,6.8,2.4,21
DO,T02,7.5-15,0145-1,17.71,6.8,5.1,100,5,33,2685,306,129,14,75.8,14.4,1.87,0.34,4.6,3,0.49,116,122,2.9,4.17,426,< 0.5,1.5,17
DO,T02,15-22.5,0146-1,17.54,6.6,4.73,97,5,13,2407,381,148,12,68.61,18.1,2.16,0.3,4.8,6,0.37,81,56,2.24,1.94,437,1.8,2.4,7
DO,T02,22.5-30,0147-1,13.78,6.3,3.91,89,5,11,1642,355,159,12,59.58,21.47,2.96,0.38,5.1,10.5,0.27,82,34,2.64,1.61,462,0.8,2,3
DO,T02,30-37.5,0148-1,19.36,5.9,3.26,83,6,10,2033,480,209,20,52.51,20.66,2.77,0.45,5.6,18,0.29,126,80,3.99,1.6,811,0.8,3.8,2
DO,T02,37.5-45,0149-1,17.99,5.9,2.93,79,6,7,1933,418,198,21,53.72,19.36,2.82,0.51,5.6,18,0.22,103,123,4.4,1.22,760,< 0.5,2.5,1
DO,T03,0-7.5,0150-1,18.23,7.2,7.04,110,7,28,2718,366,304,11,74.55,16.73,4.28,0.26,4.2,0,0.61,73,107,2.59,3.52,401,< 0.5,2,14
DO,T03,7.5-15,0151-1,19.54,6.9,4.39,94,6,12,2807,411,330,14,71.83,17.53,4.33,0.31,4.5,1.5,0.5,66,52,3.23,1.93,475,< 0.5,1.4,3
DO,T03,15-22.5,0152-1,16.18,6.7,4.53,95,7,13,2189,363,257,14,67.65,18.7,4.07,0.38,4.7,4.5,0.32,69,59,3.29,2.87,419,< 0.5,2.6,2
DO,T03,22.5-30,0154-1,21.43,6.7,3.61,86,5,12,2858,503,349,18,66.68,19.56,4.18,0.37,4.7,4.5,0.43,86,77,4.84,2.7,582,< 0.5,< 0.5,3
DO,T03,30-37.5,0155-1,25.95,6.6,2.71,74,6,8,3302,666,377,27,63.62,21.39,3.73,0.45,4.8,6,0.35,88,56,4.32,1.31,744,< 0.5,1.9,2
DO,T03,37.5-45,0156-1,18.7,6.6,2.7,74,4,6,2340,508,259,19,62.57,22.64,3.55,0.44,4.8,6,0.23,64,45,3.5,0.87,596,< 0.5,0.8,3
DO,T04,0-7.5,0157-1,19.65,7.6,5.91,105,11,70,3232,228,310,12,82.24,9.67,4.05,0.27,3.8,0,0.62,104,176,2.53,6.39,350,< 0.5,3.8,41
DO,T04,7.5-15,0158-1,19.09,7.4,4.73,97,7,23,2813,394,353,17,73.68,17.2,4.74,0.39,4,0,0.62,88,76,2.98,2.94,469,< 0.5,1.8,9
DO,T04,15-22.5,0159-1,20.96,7.1,3.26,83,6,12,2702,671,339,20,64.46,26.68,4.15,0.41,4.3,0,0.4,83,42,3.93,1.68,568,< 0.5,1.5,5
DO,T04,22.5-30,0160-1,23.21,6.4,2.78,76,5,7,2298,929,236,28,49.5,33.35,2.61,0.52,5,9,0.23,97,37,4.06,0.87,688,< 0.5,1.4,3
DO,T04,30-37.5,0161-1,36.07,5.3,2.52,70,6,4,2096,1150,142,47,29.05,26.57,1.01,0.57,6.8,36,0.25,125,33,5.49,1.07,1062,< 0.5,1.7,2
DO,T04,37.5-45,0162-1,30.68,5.1,2.59,72,5,3,1551,892,93,36,25.28,24.23,0.78,0.51,7.2,42,< 0.20,87,10,2.43,0.72,852,< 0.5,< 0.5,2
DO,T05,0-7.5,0163-1,21.59,7.4,4.31,93,16,50,3559,244,319,19,82.42,9.42,3.79,0.38,4,0,0.64,102,192,2.81,4.98,426,0.9,3.2,25
DO,T05,7.5-15,0164-1,13.91,7.6,3.22,82,9,15,2110,269,200,18,75.84,16.12,3.69,0.56,3.8,0,0.48,63,86,2.31,1.78,397,< 0.5,0.9,6
DO,T05,15-22.5,0165-1,19.99,7.3,2.74,75,8,9,2875,470,312,19,71.91,19.59,4,0.41,4.1,0,0.46,71,81,4.83,1.47,597,< 0.5,1.4,3
DO,T05,22.5-30,0166-1,22.65,7.3,2.92,78,4,8,3162,616,277,16,69.8,22.66,3.14,0.31,4.1,0,0.51,73,56,3.98,0.93,608,< 0.5,< 0.5,4
DO,T05,30-37.5,0167-1,24.18,7.4,2.72,74,4,5,2942,951,193,19,60.84,32.78,2.05,0.34,4,0,0.39,68,38,4.28,0.75,655,< 0.5,< 0.5,3
DO,T05,37.5-45,0168-1,25.57,7.2,2.6,72,3,5,3018,1079,109,31,59.01,35.16,1.09,0.53,4.2,0,0.28,67,14,2.66,0.53,632,< 0.5,0.7,2
